,Name,Company,City,Ratings,Summary,Date
0,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
1,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
2,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
3,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
5,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
6,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
7,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
8,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
9,Trainee-Data Scientist,Raps Consulting Inc.,"Iselin, NJ",NaN,"Fresh Masters graduates who have specialized in computer science only.
Should have done some college projects on AI, Cloud, Big Data.",18 days ago
10,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
11,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
12,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
13,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
14,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
15,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
16,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
17,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
18,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
19,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
20,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
